#,Color Code,Percentage,Stage,Story,Bed,Special Feature,Bath,Address,SQ FT,$/SF,Status,Ready In,Floorplan,Sales Price,Promo,HOA,Lowest Payment,Highest Payment,Home Owners Insurance,Mortgage Insurance,Floorplan File
23,,65,Trim & Doors,1,4,,2,15225 Purpose,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
19,,45,Sheetrock,1,4,,2,15224 Imagine,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
25,,60,Tile,1,4,,2,15213 Purpose,"1,495",$177,Pending,,Yoli,"$264,950.00","$5,000",,"$1,670","$1,725.00",77.28,121.44,📁
18,,45,Sheetrock,1,4,,2,15212 Imagine,"1,495",$177,Pending,,Yoli,"$264,950.00","$5,000",,"$1,670","$1,725.00",77.28,121.44,📁
26,,55,Paint,1,4,,2,15209 Purpose,"1,535",$173,Pending,,Ayde,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
17,,45,Sheetrock,1,4,,2,15208 Imagine,"1,535",$173,Pending,,Ayde,"$264,950.00","$8,000",,"$1,670","$1,725.00",77.28,121.44,📁
27,,55,Paint,1,3,,2,15205 Purpose,"1,527",$174,Pending,,Carmella,"$264,950.00",,,"$1,670","$1,725.00",77.28,121.44,📁
76,,45,Sheetrock,1,3,,2,15173 Destination,"1,583",$176,Pending,,Karla T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
58,,20,Slab,1,3,,2,15101 Destination,"1,527",$182,Pending,,Carmella T,"$277,950.00",,No,"$1,752","$1,810.00",81.07,127.39,📁
50,A/Beige,80,Finals,1,4,,2,15065 Function,"1,522",$183,Pending,,Ayde T,"$277,950.00","$8,000",,"$1,752","$1,810.00",81.07,127.39,📁
38,B/Greige,65,Trim & Doors,1,4,,2,15064 Destination,"1,495",$186,Pending,,Yoli T,"$277,950.00","$5,000",,"$1,752","$1,810.00",81.07,127.39,📁
112,B/Greige,90,Carpet / Paint,1,3,,2,15061 Function,"1,527",$180,Pending,,Carmella T,"$274,950.00","$8,000",No,"$1,733","$1,790.00",80.19,126.02,📁
